Combination,Cohesive energy,Melting point,Volume,Density,Average mass,Covalent radius(pm),Atomic mismatch,Mulliken,Pauling,Pseudopotential,Min radius,ENTROPY,VEC,Enthalpy 
"('Hf', 'Nb', 'Mo', 'Ru', 'Al')",6.192,2329.2,10.364,9.376000000000000,99.0796,113.0,0.0782460796435966,3.7354,1.774,1.994,0.419355,13.380,5.2,-31.36
"('Hf', 'Nb', 'Mo', 'Ru', 'In')",6.018,2228.6,11.516,10.298,116.6472,120.0,0.0627750095199434,3.70992,1.808,2.069,0.419,13.380,5.2,-11.68
"('Hf', 'Nb', 'Mo', 'Ru', 'La')",6.4080000000000000,2381.2,12.8412,10.066000000000000,121.46520000000000,118.6,0.142857142857144,3.70022,1.672,2.275,0.333,13.380,5.2,-9.44
"('Hf', 'Nb', 'Mo', 'Ta', 'W')",7.566,3017.2,10.794,13.5452,146.42720000000000,117.0,0.0436176228988744,3.9071,1.784,2.243,0.419355,13.380,5.2,-4.64
"('Hf', 'Nb', 'Mo', 'Ta', 'Ir')",7.1740000000000000,2817.2,10.604,14.2078,148.10320000000000,115.4,0.0436176228988744,4.0929,1.752,2.2216,0.419355,13.380,5.8,-32.32
"('Hf', 'Nb', 'Mo', 'Ta', 'Au')",6.548,2548.0,10.942,13.556000000000000,149.0532,118.6,0.0436176228988744,4.1933,1.82,2.228,0.419355,13.380,6.2,-21.12
"('Hf', 'Nb', 'Mo', 'Ta', 'Al')",6.464,2467.2,10.9,10.236,115.0556,116.2,0.0685171956023253,3.6821,1.634,2.031,0.419355,13.380,4.6,-14.24
"('Hf', 'Nb', 'Mo', 'Ta', 'In')",6.29,2366.6,12.052,11.158,132.6232,123.2,0.0328790569501105,3.65662,1.668,2.106,0.419,13.380,4.6,5.6
"('Hf', 'Nb', 'Mo', 'Ta', 'La')",6.68,2519.2,13.377200000000000,10.926000000000000,137.4412,121.8,0.123507767067932,3.64692,1.532,2.312,0.333,13.380,4.6,17.12
"('Hf', 'Nb', 'Mo', 'W', 'Ir')",7.3340000000000000,2899.2,10.328,14.777000000000000,148.68120000000000,114.6,0.0523308725422913,4.1732,1.924,2.2106,0.419355,13.380,6.0,-28.48
"('Hf', 'Nb', 'Mo', 'W', 'Au')",6.708000000000000,2630.0,10.666,14.125200000000000,149.6312,117.8,0.0523308725422913,4.2736,1.992,2.217,0.419355,13.380,6.4,-16
"('Hf', 'Nb', 'Mo', 'W', 'Al')",6.6240000000000000,2549.2,10.624000000000000,10.8052,115.6336,115.4,0.0723265179233008,3.7624,1.806,2.02,0.419355,13.380,4.8,-13.44
"('Hf', 'Nb', 'Mo', 'W', 'In')",6.450000000000000,2448.6,11.776,11.7272,133.20120000000000,122.4,0.0509069032214127,3.73692,1.84,2.095,0.419,13.380,4.8,7.68
"('Hf', 'Nb', 'Mo', 'W', 'La')",6.840000000000000,2601.2,13.1012,11.495200000000000,138.0192,121.0,0.135330173957438,3.72722,1.704,2.301,0.333,13.380,4.8,15.04
"('Hf', 'Nb', 'Mo', 'Ir', 'Au')",6.316000000000000,2430.0,10.476,14.787800000000000,151.30720000000000,116.2,0.0523308725422913,4.4594,1.96,2.1956,0.419355,13.380,7.0,-36.32
"('Hf', 'Nb', 'Mo', 'Ir', 'Al')",6.232000000000000,2349.2,10.434000000000000,11.4678,117.3096,113.8,0.0723265179233008,3.9482,1.774,1.9986,0.419355,13.380,5.4,-38.4
"('Hf', 'Nb', 'Mo', 'Ir', 'In')",6.058000000000000,2248.6,11.586,12.3898,134.8772,120.8,0.0509069032214127,3.92272,1.808,2.0736,0.419,13.380,5.4,-18.88
"('Hf', 'Nb', 'Mo', 'Ir', 'La')",6.448,2401.2,12.9112,12.157800000000000,139.6952,119.4,0.135330173957438,3.91302,1.672,2.2796,0.333,13.380,5.4,-18.24
"('Hf', 'Nb', 'Mo', 'Au', 'Al')",5.606,2080.0,10.772,10.816000000000000,118.2596,117.0,0.0723265179233008,4.0486,1.842,2.005,0.419355,13.380,5.8,-29.12
"('Hf', 'Nb', 'Mo', 'Au', 'In')",5.432,1979.4,11.924,11.738,135.8272,124.0,0.0509069032214127,4.02312,1.876,2.08,0.419,13.380,5.8,-12.64
"('Hf', 'Nb', 'Mo', 'Au', 'La')",5.822,2132.0,13.249200000000000,11.506000000000000,140.6452,122.6,0.135330173957438,4.01342,1.74,2.286,0.333,13.380,5.8,-14.24
"('Hf', 'Nb', 'Mo', 'Al', 'In')",5.348000000000000,1898.6,11.882,8.418000000000000,101.8296,121.6,0.0755479389662302,3.51192,1.69,1.883,0.419,13.380,4.2,-4.96
"('Hf', 'Nb', 'Mo', 'Al', 'La')",5.738,2051.2,13.2072,8.186,106.64760000000000,120.2,0.151318129448239,3.50222,1.554,2.089,0.333,13.380,4.2,-3.84
"('Hf', 'Nb', 'Mo', 'In', 'La')",5.564,1950.6,14.359200000000000,9.108,124.21520000000000,127.2,0.116649289251518,3.47674,1.588,2.164,0.333,13.380,4.2,10.72
"('Hf', 'Nb', 'Tc', 'Ru', 'Ta')",7.140000000000000,2708.2,10.384,12.276,130.2646,114.0,0.0613929428667706,3.8794,1.7,2.203,0.419355,13.380,5.8,-38.88
"('Hf', 'Nb', 'Tc', 'Ru', 'W')",7.3,2790.2,10.108,12.8452,130.8426,113.2,0.0638876564999954,3.9597,1.872,2.192,0.419355,13.380,6.0,-32.48
"('Hf', 'Nb', 'Tc', 'Ru', 'Ir')",6.9080000000000000,2590.2,9.918000000000000,13.5078,132.5186,111.6,0.0638876564999954,4.1455,1.84,2.1706,0.419355,13.380,6.6,-47.36
